CRIPTOATIVO;MÊS/ANO;Nº DE OPERAÇÕES;VALOR TOTAL DAS OPERAÇÕES;VALOR MÉDIO POR OPERAÇÃO
BRZ;Abril de 2023;2.232.983;420.746.786,69;188,42
BRZ;Maio de 2023;1.899.677;451.042.872,89;237,43
BRZ;Junho de 2023;1.911.614;448.028.445,34;234,37
BRZ;Julho de 2023;2.482.482;464.780.698,90;187,22
BRZ;Agosto de 2023;2.954.230;552.295.260,27;186,95
BRZ;Setembro de 2023;2.378.920;490.004.897,52;205,98
BRZ;Outubro de 2023;1.707.300;535.865.958,51;313,87
BRZ;Novembro de 2023;1.173.363;629.219.578,41;536,25
BRZ;Dezembro de 2023;835.641;572.913.904,82;685,60
BRZ;Janeiro de 2024;892.104;590.845.207,04;662,31
BRZ;Fevereiro de 2024;1.218.833;809.924.091,77;664,51
BRZ;Março de 2024;3.838.239;1.251.551.852,76;326,07
BRZ;Abril de 2024;3.840.752;1.125.924.244,72;293,15
BRZ;Maio de 2024;4.072.318;668.982.303,15;164,28
BRZ;Junho de 2024;4.331.802;637.087.155,48;147,07
BRZ;Julho de 2024;4.029.192;605.826.405,08;150,36
BRZ;Agosto de 2024;4.998.344;702.278.805,71;140,50
BRZ;Setembro de 2024;4.257.837;654.205.086,39;153,65
BRZ;Outubro de 2024;8.061.093;871.991.567,53;108,17
BRZ;Novembro de 2024;15.583.830;1.204.963.459,33;77,32
BRZX;Novembro de 2019;185;12.625,78;68,25
BRZX;Dezembro de 2019;399;32.215,90;80,74
BRZX;Janeiro de 2020;388;73.346,63;189,04
BRZX;Fevereiro de 2020;435;32.089,96;73,77
BRZX;Março de 2020;696;23.220,48;33,36
BRZX;Abril de 2020;758;33.321,71;43,96
BRZX;Maio de 2020;1.132;66.185,10;58,47
BRZX;Junho de 2020;5.622;500.803,18;89,08
BRZX;Julho de 2020;4.328;549.113,69;126,87
BRZX;Agosto de 2020;4.717;944.550,69;200,24
BRZX;Setembro de 2020;1.309;138.299,53;105,65
BRZX;Outubro de 2020;2.745;860.302,37;313,41
BRZX;Novembro de 2020;2.035;581.065,61;285,54
BRZX;Dezembro de 2020;1.731;481.774,40;278,32
BRZX;Fevereiro de 2021;1.945;445.940,34;229,28
BRZX;Março de 2021;1.310;221.757,57;169,28
BRZX;Abril de 2021;1.649;356.047,64;215,92
BRZX;Maio de 2021;1.983;343.550,45;173,25
BSV;Agosto de 2019;72;60.528,53;840,67
BSV;Setembro de 2019;70;33.557,93;479,40
BSV;Outubro de 2019;1;39,26;39,26
BSV;Novembro de 2019;2;260,19;130,10
BSV;Dezembro de 2019;1;26,14;26,14
BSV;Janeiro de 2020;4;1.512,31;378,08
BSV;Fevereiro de 2020;3;2.963,66;987,89
BSV;Março de 2020;4.091;3.243.390,03;792,81
BSV;Abril de 2020;3.205;2.610.704,39;814,57
BSV;Maio de 2020;3.226;3.061.045,66;948,87
BSV;Junho de 2020;1.397;1.021.219,82;731,01
BSV;Julho de 2020;2.112;1.560.785,10;739,01
BSV;Agosto de 2020;2.470;1.781.550,69;721,28
BSV;Setembro de 2020;1.493;1.261.194,60;844,74
BSV;Outubro de 2020;779;435.097,52;558,53
BSV;Novembro de 2020;1.521;995.115,29;654,25
BSV;Dezembro de 2020;1.380;1.109.592,86;804,05
BSV;Janeiro de 2021;7.595;6.095.455,70;802,56
BSV;Fevereiro de 2021;9.724;7.563.558,41;777,82
BSV;Março de 2021;6.618;4.993.861,06;754,59
BSV;Abril de 2021;13.634;9.989.284,40;732,67
BSV;Maio de 2021;12.061;10.761.572,29;892,26
BSV;Junho de 2021;2.207;1.617.697,32;732,98
BSV;Julho de 2021;1.416;996.165,49;703,51
BSV;Agosto de 2021;2.020;898.094,09;444,60
BSV;Setembro de 2021;1.597;828.531,21;518,80
BSV;Outubro de 2021;1.441;830.796,06;576,54
BSV;Novembro de 2021;882;583.894,54;662,01
BSV;Dezembro de 2021;1.065;833.864,66;782,97
BSV;Janeiro de 2022;306;218.810,21;715,07
BSV;Fevereiro de 2022;180;87.632,79;486,85
BSV;Março de 2022;178;98.581,39;553,83
BSV;Abril de 2022;184;85.519,77;464,78
BSV;Maio de 2022;250;45.839,12;183,36
BSV;Junho de 2022;488;128.773,70;263,88
BSV;Julho de 2022;144;47.375,07;328,99
BSV;Agosto de 2022;137;47.728,03;348,38
BSV;Setembro de 2022;82;20.195,84;246,29
BSV;Outubro de 2022;66;17.326,06;262,52
BSV;Novembro de 2022;169;41.637,07;246,37
BSV;Dezembro de 2022;87;19.683,91;226,25
BSV;Janeiro de 2023;466;60.293,66;129,39
BSV;Fevereiro de 2023;717;97.099,11;135,42
BSV;Março de 2023;286;73.367,71;256,53
BSV;Abril de 2023;71;11.836,66;166,71
BSV;Maio de 2023;712;94.835,43;133,20
BSV;Junho de 2023;881;41.492,43;47,10
BSV;Julho de 2023;450;38.265,53;85,03
BSV;Agosto de 2023;155;8.763,26;56,54
BSV;Setembro de 2023;70;4.435,97;63,37
BSV;Outubro de 2023;457;49.786,16;108,94
BSV;Novembro de 2023;232;25.862,55;111,48
BSV;Dezembro de 2023;744;83.074,63;111,66
BSV;Janeiro de 2024;363;70.035,51;192,94
BSV;Fevereiro de 2024;70;10.385,13;148,36
BSV;Março de 2024;326;64.509,22;197,88
BSV;Abril de 2024;175;24.346,11;139,12
BSV;Maio de 2024;121;12.200,09;100,83
BSV;Junho de 2024;175;25.536,61;145,92
BSV;Julho de 2024;270;55.418,96;205,26
BSV;Agosto de 2024;247;73.684,37;298,32
BSV;Setembro de 2024;107;16.036,65;149,88
BSV;Outubro de 2024;144;21.688,61;150,62
BSV;Novembro de 2024;172;39.116,25;227,42
BTC;Agosto de 2019;1.042.291;3.798.620.512,58;3.644,49
BTC;Setembro de 2019;680.740;4.081.901.179,98;5.996,27
BTC;Outubro de 2019;637.264;5.486.079.798,66;8.608,80
BTC;Novembro de 2019;455.909;4.238.625.347,73;9.297,09
BTC;Dezembro de 2019;351.873;4.779.770.064,24;13.583,79
BTC;Janeiro de 2020;552.992;4.678.089.748,21;8.459,60
BTC;Fevereiro de 2020;477.525;2.817.942.334,60;5.901,14
BTC;Março de 2020;712.116;3.360.098.410,08;4.718,47
BTC;Abril de 2020;684.785;1.904.905.955,16;2.781,76
BTC;Maio de 2020;962.448;2.957.583.548,23;3.072,98
BTC;Junho de 2020;536.579;2.687.502.794,69;5.008,59
BTC;Julho de 2020;591.223;3.454.560.962,88;5.843,08
BTC;Agosto de 2020;637.277;3.434.225.280,86;5.388,91
BTC;Setembro de 2020;518.355;3.096.582.874,57;5.973,87
BTC;Outubro de 2020;509.958;2.372.646.050,67;4.652,63
BTC;Novembro de 2020;820.394;3.354.664.850,18;4.089,09
BTC;Dezembro de 2020;1.031.269;3.812.279.147,89;3.696,69
BTC;Janeiro de 2021;2.553.488;8.228.033.882,04;3.222,27
BTC;Fevereiro de 2021;2.082.608;7.745.091.332,56;3.718,94
BTC;Março de 2021;1.778.953;7.358.254.600,81;4.136,28
BTC;Abril de 2021;1.895.548;7.632.054.775,33;4.026,31
BTC;Maio de 2021;1.955.634;7.758.550.697,85;3.967,28
BTC;Junho de 2021;1.303.420;4.173.287.987,30;3.201,80
BTC;Julho de 2021;1.066.200;2.816.563.829,87;2.641,68
BTC;Agosto de 2021;1.346.109;5.590.720.248,77;4.153,24
BTC;Setembro de 2021;1.280.108;3.430.318.330,31;2.679,71
BTC;Outubro de 2021;1.817.034;5.175.653.047,57;2.848,41
BTC;Novembro de 2021;1.419.752;4.669.097.911,94;3.288,67
BTC;Dezembro de 2021;2.834.047;3.297.823.989,34;1.163,64
BTC;Janeiro de 2022;2.009.339;2.294.426.648,65;1.141,88
BTC;Fevereiro de 2022;1.801.885;1.985.909.572,63;1.102,13
BTC;Março de 2022;1.835.552;1.913.851.521,72;1.042,66
BTC;Abril de 2022;1.678.256;1.882.461.295,01;1.121,68
BTC;Maio de 2022;1.854.984;2.591.790.889,88;1.397,20
BTC;Junho de 2022;2.308.697;2.439.243.161,65;1.056,55
BTC;Julho de 2022;3.395.497;1.842.867.643,66;542,74
BTC;Agosto de 2022;2.586.671;1.509.498.641,68;583,57
BTC;Setembro de 2022;2.418.392;1.454.356.349,31;601,37
BTC;Outubro de 2022;1.813.086;1.096.356.094,70;604,69
BTC;Novembro de 2022;1.892.438;1.441.160.607,68;761,54
BTC;Dezembro de 2022;1.447.236;1.008.421.277,43;696,79
BTC;Janeiro de 2023;1.978.598;1.059.783.608,61;535,62
BTC;Fevereiro de 2023;1.628.231;1.084.479.500,64;666,05
BTC;Março de 2023;2.247.148;1.625.467.972,55;723,35
BTC;Abril de 2023;1.671.646;1.244.136.683,79;744,26
BTC;Maio de 2023;1.454.354;997.374.408,37;685,79
BTC;Junho de 2023;1.438.734;1.110.909.005,59;772,14
BTC;Julho de 2023;1.242.471;793.623.345,03;638,75
BTC;Agosto de 2023;1.481.463;1.071.512.520,32;723,28
BTC;Setembro de 2023;1.146.559;728.074.046,44;635,01
BTC;Outubro de 2023;1.675.447;1.201.323.161,04;717,02
BTC;Novembro de 2023;1.566.873;1.187.723.248,54;758,02
BTC;Dezembro de 2023;2.515.469;1.669.596.068,01;663,73
BTC;Janeiro de 2024;2.273.289;1.930.714.353,00;849,30
BTC;Fevereiro de 2024;2.590.293;3.246.591.368,10;1.253,37
BTC;Março de 2024;4.359.264;7.410.168.480,79;1.699,87
BTC;Abril de 2024;3.022.582;6.204.852.788,04;2.052,83
BTC;Maio de 2024;2.177.973;3.401.490.660,47;1.561,77
BTC;Junho de 2024;2.168.169;3.367.817.417,96;1.553,30
BTC;Julho de 2024;2.627.210;4.278.779.588,46;1.628,64
BTC;Agosto de 2024;2.380.047;5.205.659.594,11;2.187,21
BTC;Setembro de 2024;2.022.856;3.097.748.927,10;1.531,37
BTC;Outubro de 2024;2.378.330;3.865.911.078,11;1.625,47
BTC;Novembro de 2024;5.727.748;12.630.452.497,19;2.205,13
BTC;Dezembro de 2024;40.151;3.256.857,90;81,12
BTG;Agosto de 2019;8.202;19.355,58;2,36
BTG;Setembro de 2019;5.791;9.786,23;1,69
BTG;Outubro de 2019;3;5,65;1,88
BTG;Novembro de 2019;6;11,01;1,84
